#BL_HF	BL_HCL	BA_FHCl	ground
3.5	3.5	40.0	-559.254552718
3.5	3.5	50.0	-559.396242608
3.5	3.5	60.0	-559.389039360
3.5	3.5	70.0	-559.415058587
3.5	3.5	80.0	-559.435082576
3.5	3.5	90.0	-559.443713252
3.5	3.5	100.0	-559.447348308
3.5	3.5	110.0	-559.448897941
3.5	4.0	10.0	-536.455481444
3.5	4.0	20.0	-555.303627145
3.5	4.0	30.0	-558.801773613
3.5	4.0	40.0	-559.357880456
3.5	4.0	50.0	-559.412369316
3.5	4.0	60.0	-559.388761348
3.5	4.0	70.0	-559.395145790
3.5	4.0	80.0	-559.410106227
3.5	4.0	90.0	-559.416128731
3.5	4.0	100.0	-559.418421945
3.5	4.0	110.0	-559.419290385
3.5	4.5	10.0	-552.298742596
3.5	4.5	20.0	-557.842809809
3.5	4.5	30.0	-559.192479010
3.5	4.5	40.0	-559.412512355
3.5	4.5	50.0	-559.409333690
3.5	4.5	60.0	-559.382555405
3.5	4.5	70.0	-559.395633580
3.5	4.5	80.0	-559.403018589
3.5	4.5	90.0	-559.405796435
3.5	4.5	100.0	-559.406739034
3.5	4.5	110.0	-559.407002764
3.5	5.0	10.0	-557.662286741
3.5	5.0	20.0	-558.962815419
3.5	5.0	30.0	-559.374010936
3.5	5.0	40.0	-559.422396930
3.5	5.0	50.0	-559.396870124
3.5	5.0	60.0	-559.375654057
3.5	5.0	70.0	-559.402469282
3.5	5.0	80.0	-559.405290946
3.5	5.0	90.0	-559.406057424
3.5	5.0	100.0	-559.406167819
3.5	5.0	110.0	-559.406090451
3.5	5.5	10.0	-559.039342808
3.5	5.5	20.0	-559.334968826
3.5	5.5	30.0	-559.423505312
3.5	5.5	40.0	-559.409706922
3.5	5.5	50.0	-559.383999994
3.5	5.5	60.0	-559.370719275
3.5	5.5	70.0	-559.406073174
3.5	5.5	80.0	-559.407112672
3.5	5.5	90.0	-559.407264692
3.5	5.5	100.0	-559.407208866
3.5	5.5	110.0	-559.407149921
3.5	6.0	10.0	-559.372726888
3.5	6.0	20.0	-559.421847110
3.5	6.0	30.0	-559.417974784
3.5	6.0	40.0	-559.392687648
3.5	6.0	50.0	-559.374978234
3.5	6.0	60.0	-559.368004528
3.5	6.0	70.0	-559.407653456
3.5	6.0	80.0	-559.407917211
3.5	6.0	90.0	-559.407846696
3.5	6.0	100.0	-559.407748232
3.5	6.0	110.0	-559.407690335
3.5	6.5	10.0	-559.427050003
3.5	6.5	20.0	-559.420248150
3.5	6.5	30.0	-559.399574559
3.5	6.5	40.0	-559.396553850
3.5	6.5	50.0	-559.405131163
3.5	6.5	60.0	-559.366829200
3.5	6.5	70.0	-559.367122800
3.5	6.5	80.0	-559.408170718
3.5	6.5	90.0	-559.408037082
3.5	6.5	100.0	-559.407940052
3.5	6.5	110.0	-559.407889766
3.5	7.0	10.0	-559.415303772
3.5	7.0	20.0	-559.402047129
3.5	7.0	30.0	-559.394960752
3.5	7.0	40.0	-559.403827145
3.5	7.0	50.0	-559.407367329
3.5	7.0	60.0	-559.366630302
3.5	7.0	70.0	-559.367014023
3.5	7.0	80.0	-559.408183709
3.5	7.0	90.0	-559.408053111
3.5	7.0	100.0	-559.407973952
3.5	7.0	110.0	-559.407934913
4.0	1.0	10.0	-557.367877096
4.0	1.0	20.0	-557.387403306
4.0	1.0	30.0	-557.406047777
4.0	1.0	40.0	-557.424372256
4.0	1.0	60.0	-557.459427913
4.0	1.0	70.0	-557.469963880
4.0	1.0	80.0	-557.481654245
4.0	1.0	90.0	-557.490244169
4.0	1.0	100.0	-557.496330050
4.0	1.0	110.0	-557.500536548
4.0	1.5	20.0	-558.904406476
4.0	1.5	40.0	-559.001287909
4.0	1.5	50.0	-559.041490571
4.0	1.5	60.0	-559.061943157
4.0	1.5	70.0	-559.084456826
4.0	1.5	80.0	-559.099929247
4.0	1.5	90.0	-559.109841620
4.0	1.5	100.0	-559.115924117
4.0	1.5	110.0	-559.119581864
4.0	2.0	10.0	-558.788873171
4.0	2.0	20.0	-559.014512315
4.0	2.0	30.0	-559.189919381
4.0	2.0	40.0	-559.305267549
4.0	2.0	50.0	-559.369305929
4.0	2.0	60.0	-559.410709818
